DIGITAL_OBJECT - URL_TEXT,DIGITAL_OBJECT - URL,RECORD_URL,CENSUS_DISTRICT,PAGE,UNDER14,YEAR_DISPLAY,NAME,YEAR,REMARKS,AGE,FATHER,GUARDIAN,MOTHER
CEN1/1/110,https://stors.tas.gov.au/CEN1-1-110-520,https://stors.tas.gov.au/NI/479016,Launceston,520,No,1851.0,"Lee, George",1851.0,,,,,
CEN1/1/31,https://stors.tas.gov.au/CEN1-1-31-151,https://stors.tas.gov.au/NI/479017,Norfolk Plains,151,No,1842.0,"Lee, Hannah",1842.0,,,,,
CEN1/1/79,https://stors.tas.gov.au/CEN1-1-79-163,https://stors.tas.gov.au/NI/479018,Hobart,163,No,1848.0,"Lee, James",1848.0,,,,,
CEN1/1/2,https://stors.tas.gov.au/CEN1-1-2-99,https://stors.tas.gov.au/NI/479019,Bothwell,99,No,1842.0,"Lee, John",1842.0,,,,,
CEN1/1/6,https://stors.tas.gov.au/CEN1-1-6-211,https://stors.tas.gov.au/NI/479020,Campbell Town,211,No,1842.0,"Lee, John",1842.0,,,,,
CEN1/1/47,https://stors.tas.gov.au/CEN1-1-47-125,https://stors.tas.gov.au/NI/479021,Campbell Town,125,No,1843.0,"Lee, John",1843.0,,,,,
CEN1/1/16,https://stors.tas.gov.au/CEN1-1-16-29,https://stors.tas.gov.au/NI/479022,Hobart,29,No,1842.0,"Lee, John",1842.0,,,,,
CEN1/1/87,https://stors.tas.gov.au/CEN1-1-87-297,https://stors.tas.gov.au/NI/479023,Hobart,297,No,1848.0,"Lee, John",1848.0,,,,,
CEN1/1/89,https://stors.tas.gov.au/CEN1-1-89-247,https://stors.tas.gov.au/NI/479024,Hobart,247,No,1848.0,"Lee, John",1848.0,,,,,
CEN1/1/110,https://stors.tas.gov.au/CEN1-1-110-339,https://stors.tas.gov.au/NI/479025,Launceston,339,No,1851.0,"Lee, John",1851.0,,,,,
CEN1/1/102,https://stors.tas.gov.au/CEN1-1-102-2-32,https://stors.tas.gov.au/NI/479026,Launceston,32,No,1848.0,"Lee, Samuel",1848.0,,,,,
CEN1/1/31,https://stors.tas.gov.au/CEN1-1-31-153,https://stors.tas.gov.au/NI/479027,Norfolk Plains,153,No,1842.0,"Lee, William",1842.0,,,,,
POL361/1/1,https://stors.tas.gov.au/POL361-1-1,https://stors.tas.gov.au/NI/479028,New Town,105,No,1837.0,"Lee, William",1837.0,,,,,
